Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
16;21101055750;"Radiology: Artificial Intelligence";journal;"26386100";"Radiological Society of North America Inc.";No;No;3,128;Q1;47;102;208;2442;2045;162;10,42;23,94;31,05;0;33;United States;Northern America;"Radiological Society of North America Inc.";"2019-2025";"Artificial Intelligence (Q1); Radiological and Ultrasound Technology (Q1); Radiology, Nuclear Medicine and Imaging (Q1)";"Computer Science; Health Professions; Medicine"
17;24141;"Artificial Intelligence Review";journal;"02692821, 15737462";"Springer Netherlands";No;No;3,010;Q1;138;348;760;43594;15730;759;19,58;125,27;30,70;4;74;Netherlands;Western Europe;"Springer Netherlands";"1986-2025";"Artificial Intelligence (Q1); Linguistics and Language (Q1)";"Computer Science; Social Sciences"
18;21100976127;"IEEE Transactions on Intelligent Vehicles";journal;"23798858";"Institute of Electrical and Electronics Engineers Inc.";No;No;2,821;Q1;74;795;591;19633;8385;582;14,07;24,70;24,59;0;200;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2016-2024";"Artificial Intelligence (Q1); Automotive Engineering (Q1); Control and Optimization (Q1)";"Computer Science; Engineering; Mathematics"
19;21100854831;"IEEE Transactions on Cognitive Communications and Networking";journal;"23327731";"Institute of Electrical and Electronics Engineers Inc.";No;No;2,541;Q1;65;292;366;13109;3679;362;8,59;44,89;27,28;0;44;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2015-2025";"Artificial Intelligence (Q1); Computer Networks and Communications (Q1); Hardware and Architecture (Q1)";"Computer Science"
20;13017;"Physics of Life Reviews";journal;"18731457, 15710645";"Elsevier B.V.";No;No;2,384;Q1;77;143;308;8588;680;42;2,30;60,06;32,19;0;12;Netherlands;Western Europe;"Elsevier B.V.";"2004-2025";"Agricultural and Biological Sciences (miscellaneous) (Q1); Artificial Intelligence (Q1); Physics and Astronomy (miscellaneous) (Q1)";"Agricultural and Biological Sciences; Computer Science; Physics and Astronomy"
21;18050;"International Journal of Robotics Research";journal;"02783649, 17413176";"SAGE Publications Inc.";No;No;2,333;Q1;202;150;189;10568;1937;171;7,50;70,45;18,83;0;21;United States;Northern America;"SAGE Publications Inc.";"1982-2025";"Applied Mathematics (Q1); Artificial Intelligence (Q1); Electrical and Electronic Engineering (Q1); Mechanical Engineering (Q1); Modeling and Simulation (Q1); Software (Q1)";"Computer Science; Engineering; Mathematics"
22;21101081610;"International Journal of Information Management Data Insights";journal;"26670968";"Elsevier B.V.";Yes;No;2,302;Q1;48;92;202;7510;3662;201;15,11;81,63;27,94;0;34;Netherlands;Western Europe;"Elsevier B.V.";"2021-2025";"Artificial Intelligence (Q1); Industrial and Manufacturing Engineering (Q1); Information Systems (Q1); Information Systems and Management (Q1); Library and Information Sciences (Q1); Management Information Systems (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences; Engineering; Social Sciences"
23;21101145520;"Cyborg and Bionic Systems";journal;"20971087, 26927632";"American Association for the Advancement of Science";Yes;Yes;2,263;Q1;28;63;103;3909;1545;102;17,31;62,05;33,02;0;9;United States;Northern America;"American Association for the Advancement of Science";"2020-2024";"Artificial Intelligence (Q1); Biomedical Engineering (Q1); Human-Computer Interaction (Q1); Mechanical Engineering (Q1)";"Computer Science; Engineering"
24;23127;"Journal of the ACM";journal;"00045411, 1557735X";"Association for Computing Machinery (ACM)";No;No;2,246;Q1;146;42;129;2671;557;121;3,31;63,60;14,50;0;0;United States;Northern America;"Association for Computing Machinery (ACM)";"1954-2025";"Artificial Intelligence (Q1); Control and Systems Engineering (Q1); Hardware and Architecture (Q1); Information Systems (Q1); Software (Q1)";"Computer Science; Engineering"
25;24207;"Fuzzy Optimization and Decision Making";journal;"15732908, 15684539";"Springer New York";No;No;2,171;Q1;68;28;76;808;594;76;7,87;28,86;32,31;0;7;United States;Northern America;"Springer New York";"2002-2025";"Artificial Intelligence (Q1); Logic (Q1); Software (Q1)";"Computer Science; Mathematics"
26;24823;"Pattern Recognition";journal;"00313203";"Elsevier Ltd";No;No;2,058;Q1;257;851;1955;39457;19851;1953;9,84;46,37;30,40;0;31;United Kingdom;Western Europe;"Elsevier Ltd";"1968-2025";"Artificial Intelligence (Q1); Computer Vision and Pattern Recognition (Q1); Signal Processing (Q1); Software (Q1)";"Computer Science"
27;20969;"Journal of Machine Learning Research";journal;"15337928, 15324435";"Microtome Publishing";Yes;No;2,019;Q1;280;5;1035;396;8482;1035;6,74;79,20;16,67;0;0;United States;Northern America;"Microtome Publishing";"2001-2025";"Artificial Intelligence (Q1); Control and Systems Engineering (Q1); Software (Q1); Statistics and Probability (Q1)";"Computer Science; Engineering; Mathematics"
28;21101047378;"Energy and AI";journal;"26665468";"Elsevier B.V.";Yes;No;2,000;Q1;44;144;233;8670;2909;230;12,60;60,21;21,32;1;103;Netherlands;Western Europe;"Elsevier B.V.";"2020-2025";"Artificial Intelligence (Q1); Energy (miscellaneous) (Q1); Engineering (miscellaneous) (Q1)";"Computer Science; Energy; Engineering"
29;23640;"Advanced Engineering Informatics";journal;"14740346";"Elsevier Ltd";No;No;1,993;Q1;124;661;882;40197;10777;875;11,86;60,81;28,72;1;173;United Kingdom;Western Europe;"Elsevier Ltd";"2002-2025";"Artificial Intelligence (Q1); Information Systems (Q1)";"Computer Science"
30;21101158600;"Journal of Metaverse";journal;"27920232";"Izmir Academy Association";Yes;Yes;1,955;Q1;17;16;35;869;571;35;11,23;54,31;44,12;0;2;Turkey;Middle East;"Izmir Academy Association";"2021-2024";"Artificial Intelligence (Q1); Social Sciences (miscellaneous) (Q1)";"Computer Science; Social Sciences"
